,eventid,iyear,imonth,iday,approxdate,extended,resolution,country,country_txt,region,region_txt,provstate,city,latitude,longitude,summary,multiple,success,suicide,attacktype1,attacktype1_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1,gname,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,nkill,nwound,property,propextent,propextent_txt,propvalue,scite1,scite2,dbsource,INT_LOG,INT_ANY,related
10,197001050001,1970,1,1,,0,,217,United States,1,North America,Wisconsin,Baraboo,43.4685,-89.744299,,0,0,0,3,Bombing/Explosion,4,Military,27.0,Military Barracks/Base/Headquarters/Checkpost,,Badger Army ammo depot.,217.0,"Weather Underground, Weathermen",6,Explosives/Bombs/Dynamite,16.0,Unknown Explosive Type,0.0,0.0,0,3.0,Minor (likely < $1 million),0.0,,,PGIS,0,0,
11,197001060001,1970,1,6,,0,,217,United States,1,North America,Colorado,Denver,39.74001,-104.992259,"1/6/1970: Unknown perpetrators threw a Molotov cocktail into an Army Recruiting Station in Denver, Colorado, United States.  There were no casualties but damages to the station were estimated at $305.",0,1,0,7,Facility/Infrastructure Attack,4,Military,28.0,Military Recruiting Station/Academy,Army Recruiting Station,"Army Recruiting Station, Denver Colorado",217.0,Left-Wing Militants,8,Incendiary,19.0,Molotov Cocktail/Petrol Bomb,0.0,0.0,1,3.0,Minor (likely < $1 million),305.0,"Committee on Government Operations United States Senate, ""Riots, Civil, and Criminal Disorders,"" U.S. Government Printing Office, August 6, 1970.","Christopher Hewitt, ""Political Violence and Terrorism in Modern America: A Chronology,"" Praeger Security International, 2005.",Hewitt Project,-9,-9,
12,197001080001,1970,1,8,,0,,98,Italy,8,Western Europe,Lazio,Rome,41.89052,12.494249,,0,1,0,4,Hijacking,6,Airports & Aircraft,42.0,Aircraft (not at an airport),Trans World Airline,Flight 802 Boeing 707,217.0,Unknown,5,Firearms,4.0,Rifle/Shotgun (non-automatic),0.0,0.0,0,,,,,,Hijacking DB,-9,1,
13,197001090001,1970,1,9,,0,,217,United States,1,North America,Michigan,Detroit,42.331685,-83.047924,"1/9/1970: Unknown perpetrators set off a firebomb at the Packard Properties building in Detroit, Michigan, United States.  The facility housed federal employees.  The building was damaged but there were no casualties.",0,1,0,7,Facility/Infrastructure Attack,2,Government (General),21.0,Government Building/Facility/Office,U.S. Government housing,Packard Properties building of Detroit Michigan,217.0,Left-Wing Militants,8,Incendiary,19.0,Molotov Cocktail/Petrol Bomb,0.0,0.0,1,3.0,Minor (likely < $1 million),,"Committee on Government Operations United States Senate, ""Riots, Civil, and Criminal Disorders,"" U.S. Government Printing Office, August 6, 1970.","Christopher Hewitt, ""Political Violence and Terrorism in Modern America: A Chronology,"" Praeger Security International, 2005.",Hewitt Project,-9,-9,
14,197001090002,1970,1,9,,0,,217,United States,1,North America,Puerto Rico,Rio Piedras,18.399712,-66.049987,"1/9/1970:  The Armed Commandos of Liberation claimed credit for setting a fire at the Baker's Store in Rio Piedras, Puerto Rico.  There were no casualties but the store was destroyed at a cost of $2,000,000.",0,1,0,7,Facility/Infrastructure Attack,1,Business,7.0,Retail/Grocery/Bakery,American owned business in Puerto Rico,Baker's Store,217.0,Armed Commandos of Liberation,8,Incendiary,18.0,Arson/Fire,0.0,0.0,1,2.0,Major (likely > $1 million but < $1 billion),2000000.0,"Committee on the Judiciary  United States Senate, ""Terroristic Activity: The Cuban Connection in Puerto Rico; Castro's Hand in Puerto Rican and U.S. Terrorism,"" U.S. Government Printing Office, August 6, 1970.","""No Evidence Of Arson Found In Barkers Fire,"" The Virgin Islands Daily News, January 13, 1970.",Hewitt Project,0,0,
15,197001100001,1970,1,10,,0,,499,East Germany (GDR),9,Eastern Europe,,East Berlin,52.516667000000005,13.4,,0,1,0,3,Bombing/Explosion,2,Government (General),,,,Jurists Ball (Palais au Frankturm),75.0,Commune 1,6,Explosives/Bombs/Dynamite,16.0,Unknown Explosive Type,,,0,,,,,,PGIS,0,1,
16,197001110001,1970,1,11,,0,,65,Ethiopia,11,Sub-Saharan Africa,Unknown,Unknown,,,,0,1,0,9,Unknown,4,Military,34.0,"Military Personnel (soldiers, troops, officers, forces)",U.S. Army,Soldier,217.0,Eritrean Liberation Front,13,Unknown,,,1.0,0.0,0,,,,,,PGIS,0,1,
17,197001120001,1970,1,12,,0,,217,United States,1,North America,New York,New York City,40.610069,-73.947971,"1/12/1970: Unknown perpetrators threw a pipe bomb into the vacant dean's office of James Madison High School in Brooklyn, New York, United States.  There were no casualties but the explosion caused minor damages.  Earlier in the day anti-war and pro-Black Panther statements were discovered painted outside the walls of the school.",0,1,0,3,Bombing/Explosion,8,Educational Institution,49.0,School/University/Educational Building,High School,James Madison High School,217.0,Black Nationalists,6,Explosives/Bombs/Dynamite,11.0,"Projectile (rockets, mortars, RPGs, etc.)",0.0,0.0,1,3.0,Minor (likely < $1 million),,"""Blast Damages Flatbush School,"" New York Times, January 13, 1970.","Linda Greenhouse, ""Madison School Puzzled By Bomb,"" New York Times, January 18, 1970.",Hewitt Project,-9,-9,
18,197001120002,1970,1,12,,0,,217,United States,1,North America,Puerto Rico,Rio Grande,18.379998,-65.83094799999999,"1/12/1970: Unknown perpetrators detonated a bomb at a General Electric factory in Rio Grande, Puerto Rico during a strike.  There were no casualties and it is unknown if the factory sustained any damages.",0,1,0,3,Bombing/Explosion,1,Business,4.0,Multinational Corporation,General Electric,General Electric factory in Rio Grande Puerto Rico,217.0,Strikers,6,Explosives/Bombs/Dynamite,16.0,Unknown Explosive Type,0.0,0.0,-9,4.0,Unknown,,"Committee on the Judiciary  United States Senate, ""Terroristic Activity: The Cuban Connection in Puerto Rico; Castro's Hand in Puerto Rican and U.S. Terrorism,"" U.S. Government Printing Office, August 6, 1970.","""Toward People's War for Independence and Socialism in Puerto Rico: In Defense of Armed Struggle,"" Documents and CommuniquÈs from the Revolutionary Public Independence Movement and the Armed Clandestine Movement, January 1987.",Hewitt Project,-9,-9,
19,197001130001,1970,1,13,,0,,217,United States,1,North America,Washington,Seattle,47.603559999999995,-122.329439,"1/13/1970: Unknown perpetrators firebombed Fuson's Department Store in Seattle, Washington, United States.  There were no casualties but the store sustained an estimated $17,000 in damages.  Less than a week earlier, the store owner shot and killed an African American male attempting to rob the store.",0,1,0,7,Facility/Infrastructure Attack,1,Business,7.0,Retail/Grocery/Bakery,Fuson's Department Store,"Fuson's Department Store, Seattle Washington",217.0,Black Nationalists,8,Incendiary,19.0,Molotov Cocktail/Petrol Bomb,0.0,0.0,1,3.0,Minor (likely < $1 million),17000.0,"Committee on Government Operations United States Senate, ""Riots, Civil, and Criminal Disorders,"" U.S. Government Printing Office, August 6, 1970.",,Hewitt Project,-9,-9,
20,197001140001,1970,1,14,,0,,217,United States,1,North America,Illinois,Champaign,40.116748,-88.23926999999999,"1/14/1970: Suspected Black militants threw two firebombs into the Champaign Police Department in Champaign, Illinois, United States.  The building was damaged and one police officer was severely burned.",0,1,0,7,Facility/Infrastructure Attack,3,Police,22.0,"Police Building (headquarters, station, school)",Police Department,Champaign Police Department,217.0,Black Nationalists,8,Incendiary,19.0,Molotov Cocktail/Petrol Bomb,0.0,1.0,1,3.0,Minor (likely < $1 million),,"Committee on Government Operations United States Senate, ""Riots, Civil, and Criminal Disorders,"" U.S. Government Printing Office, August 6, 1970.","Christopher Hewitt, ""Political Violence and Terrorism in Modern America: A Chronology,"" Praeger Security International, 2005.",Hewitt Project,-9,-9,
21,197001150001,1970,1,15,,0,,218,Uruguay,3,South America,Montevideo,Montevideo,-34.891151,-56.187214000000004,,0,1,0,2,Armed Assault,8,Educational Institution,49.0,School/University/Educational Building,,"Secondary School, Chemistry Lab",218.0,Tupamaros (Uruguay),5,Firearms,2.0,Automatic Weapon,0.0,0.0,1,3.0,Minor (likely < $1 million),2500.0,,,PGIS,0,0,
22,197001190002,1970,1,19,,0,,217,United States,1,North America,Washington,Seattle,47.610594,-122.317228,"1/17/1970: Three African Americans were suspected of detonating a bomb on the Seattle University campus in Seattle, Washington, United States.  There were no casualties but the Liberal Arts and Garrand buildings sustained $2,200 in damages.",0,1,0,3,Bombing/Explosion,8,Educational Institution,49.0,School/University/Educational Building,Seattle University,"Liberal Arts and Garrand buildings, Seattle University",217.0,Black Nationalists,6,Explosives/Bombs/Dynamite,16.0,Unknown Explosive Type,0.0,0.0,1,3.0,Minor (likely < $1 million),2200.0,"Committee on Government Operations United States Senate, ""Riots, Civil, and Criminal Disorders,"" U.S. Government Printing Office, August 6, 1970.","Christopher Hewitt, ""Political Violence and Terrorism in Modern America: A Chronology,"" Praeger Security International, 2005.",Hewitt Project,-9,-9,
23,197001190003,1970,1,19,,0,,217,United States,1,North America,Washington,Seattle,47.655335,-122.30351999999999,"1/17/1970: Silas and Judith Bissell placed an explosive device in the vicinity of the Air Force R.O.T.C. at the University of Washington campus in Seattle, Washington, United States.  The device was discovered and subsequently disarmed.",0,0,0,3,Bombing/Explosion,4,Military,28.0,Military Recruiting Station/Academy,R.O.T.C.,Air Force R.O.T.C. at the University of Washington,217.0,Student Radicals,6,Explosives/Bombs/Dynamite,16.0,Unknown Explosive Type,0.0,0.0,0,,,,"Committee on Government Operations United States Senate, ""Riots, Civil, and Criminal Disorders,"" U.S. Government Printing Office, August 6, 1970.","Christopher Hewitt, ""Political Violence and Terrorism in Modern America: A Chronology,"" Praeger Security International, 2005.",Hewitt Project,-9,-9,
24,197001190004,1970,1,19,"January 19-20, 1970",0,,217,United States,1,North America,New Jersey,Jersey City,40.728075,-74.077825,"1/19/1970: Unknown perpetrators ignited a fire at the Black Panther Party headquarters in Jersey City, New Jersey, United States.  Two hours later shots were fired at the building.  There were no casualties but the building sustained minor damages.",0,1,0,7,Facility/Infrastructure Attack,22,Violent Political Party,110.0,Party Office/Facility,Black Panther Party,Headquarters,217.0,White extremists,8,Incendiary,18.0,Arson/Fire,0.0,0.0,1,3.0,Minor (likely < $1 million),,"Committee on Government Operations United States Senate, ""Riots, Civil, and Criminal Disorders,"" U.S. Government Printing Office, August 6, 1970.","""Black Panthers Say Office Was Bombed,"" New York Times, January 20, 1970.",Hewitt Project,-9,-9,
25,197001200001,1970,1,20,,0,,83,Guatemala,2,Central America & Caribbean,,Guatemala City,14.624422000000001,-90.53288,,0,1,0,1,Assassination,7,Government (Diplomatic),46.0,Embassy/Consulate,British consulate,"Bodyguard, British Consul",216.0,Unknown,13,Unknown,,,1.0,0.0,0,,,,,,PGIS,-9,1,
26,197001210001,1970,1,21,,0,,160,Philippines,5,Southeast Asia,Metropolitan Manila,Quezon City,14.677301000000002,121.044348,,0,1,0,3,Bombing/Explosion,7,Government (Diplomatic),46.0,Embassy/Consulate,,JUSMAG HQ,217.0,Unknown,6,Explosives/Bombs/Dynamite,15.0,Vehicle,0.0,0.0,1,3.0,Minor (likely < $1 million),5000.0,,,PGIS,-9,1,
27,197001220001,1970,1,22,,0,,222,Venezuela,3,South America,Caracas,Caracas,10.502961,-66.917253,,0,1,0,6,Hostage Taking (Kidnapping),1,Business,7.0,Retail/Grocery/Bakery,Father owned chain of dept stores,"Leon Jacobo Taurel, son",222.0,Armed Forces of National Liberation- Venezuela (FALN),13,Unknown,,,0.0,0.0,0,,,,,,PGIS,0,0,
28,197001220002,1970,1,22,,0,,217,United States,1,North America,Nebraska,South Sioux City,42.47031,-96.413949,"1/22/1970: Unknown perpetrators detonated an explosive device near a private home in South Sioux City, Nebraska, United States.  There were no casualties, however, a sizable hole was left in the house and windows were broken.  This attack was one of many instances of violence in South Sioux City during the Iowa Beef Packers strike.",0,1,0,3,Bombing/Explosion,14,Private Citizens & Property,76.0,House/Apartment/Residence,Private residence,,217.0,Strikers,6,Explosives/Bombs/Dynamite,28.0,Dynamite/TNT,0.0,0.0,1,3.0,Minor (likely < $1 million),,"Committee on Government Operations United States Senate, ""Riots, Civil, and Criminal Disorders,"" U.S. Government Printing Office, August 6, 1970.","""Beef Plant Workers in Nebraska Await Call to Work After Violent Strike Ends,"" New York Times, April 12, 1970.",Hewitt Project,-9,-9,
29,197001250001,1970,1,25,,0,,217,United States,1,North America,Mississippi,West Point,33.60651,-88.650419,"1/25/1970: Unknown perpetrators burnt down a building that was a meeting spot for African Americans in West Point, Mississippi, United States.  There were no injuries or fatalities.  The attack occurred amidst widespread disapproval of school desegregation by the White population of West Point.",0,1,0,7,Facility/Infrastructure Attack,14,Private Citizens & Property,71.0,Race/Ethnicity Identified,Building,Building used as a meeting place for African Americans.,217.0,White extremists,8,Incendiary,18.0,Arson/Fire,0.0,0.0,1,3.0,Minor (likely < $1 million),,"""Miss. City Is Desegregation Trouble Spot,"" Chicago Daily Defender, January 29, 1970.",,Hewitt Project,-9,-9,
30,197001250002,1970,1,25,,0,,217,United States,1,North America,New York,New York City,40.78306,-73.971249,"1/25/1970: Responding to what authorities believe was a fake report to lure police to Manhattan, New York, United States, Patrolmen William Kivlehan and Ralph Bax were shot at from a rooftop by unknown perpetrators after they got out of their car.  Officer Kivlehan was hit five times and officer Bax was hit three times.  Both policemen survived.",0,1,0,2,Armed Assault,3,Police,25.0,Police Security Forces/Officers,New York Police Department,New York Police Officers responding to a call in Harlem,217.0,Black Nationalists,5,Firearms,5.0,Unknown Gun Type,0.0,2.0,1,3.0,Minor (likely < $1 million),,"Committee on Government Operations United States Senate, ""Riots, Civil, and Criminal Disorders,"" U.S. Government Printing Office, August 6, 1970.","Martin Arnold, ""Harlem Area Sealed Off As Police Hunt Snipers,"" New York Times, January 27, 1970.",Hewitt Project,-9,-9,
31,197001260001,1970,1,26,,0,,217,United States,1,North America,Mississippi,West Point,33.60651,-88.650419,"1/26/1970: Unknown African American assailants, unsatisfied with the courts decision on desegregation, threw a stick of dynamite at the Clay County Courthouse in West Point, Mississippi, United States.  There were no injuries or fatalities but the windows of the building were shattered.",0,1,0,3,Bombing/Explosion,2,Government (General),14.0,Judge/Attorney/Court,Courthouse,Clay County Courthouse,217.0,Black Nationalists,6,Explosives/Bombs/Dynamite,28.0,Dynamite/TNT,0.0,0.0,1,3.0,Minor (likely < $1 million),,"""Miss. City Is Desegregation Trouble Spot,"" Chicago Daily Defender, January 29, 1970.","""Black, White Killings in South, West Trigger Racial Skirmishes,"" New Pittsburgh Courier, October 30, 1971.",Hewitt Project,-9,-9,
32,197001260003,1970,1,26,,0,,217,United States,1,North America,New York,New York City,40.728224,-73.794852,"1/26/1970: Police officer Joseph Blik was on foot patrol in Queens, New York, United States when two people in a car stopped to ask him for directions.  The perpetrators in the car immediately fired two shots at Officer Blik and then drove away.  Officer Blik was not hit.",0,1,0,2,Armed Assault,3,Police,23.0,Police Patrol (including vehicles and convoys),New York Police Department,New York Police Officer on patrol in Forest Hills,217.0,Black Nationalists,5,Firearms,5.0,Unknown Gun Type,0.0,0.0,0,,,,"Committee on Government Operations United States Senate, ""Riots, Civil, and Criminal Disorders,"" U.S. Government Printing Office, August 6, 1970.","Martin Arnold, ""Harlem Area Sealed Off As Police Hunt Snipers,"" New York Times, January 27, 1970.",Hewitt Project,-9,-9,
33,197001270002,1970,1,27,,0,,217,United States,1,North America,Ohio,Norwalk,41.241996,-82.615241,"1/27/1970: Unknown perpetrators broke into the Selective Service Offices located at the Citizens Bank Building in Norwalk, Ohio, United States.  The perpetrators took out the draft records and set them on fire.  The attack caused an estimated $8,800 in damages.",0,1,0,7,Facility/Infrastructure Attack,2,Government (General),21.0,Government Building/Facility/Office,Selective Service,Selective Service office in Norwalk Ohio,217.0,Left-Wing Militants,8,Incendiary,18.0,Arson/Fire,0.0,0.0,1,3.0,Minor (likely < $1 million),8800.0,"Committee on Government Operations United States Senate, ""Riots, Civil, and Criminal Disorders,"" U.S. Government Printing Office, August 6, 1970.","""Clues To Arson Sought In Norwalk,"" Toledo Blade, January 28, 1970.",Hewitt Project,-9,-9,
34,197001280001,1970,1,28,,0,,499,East Germany (GDR),9,Eastern Europe,,East Berlin,52.516667000000005,13.4,,0,1,0,7,Facility/Infrastructure Attack,3,Police,25.0,Police Security Forces/Officers,,Residence of President of Penal Office,75.0,Unknown,8,Incendiary,19.0,Molotov Cocktail/Petrol Bomb,,,1,4.0,Unknown,,,,PGIS,-9,1,
35,197001280002,1970,1,28,,0,,217,United States,1,North America,Washington,Seattle,47.603559999999995,-122.329439,"1/28/1970: Unknown perpetrators detonated an explosive device at Temple De Hirsch in Seattle, Washington, United States.  There were no casualties but the building sustained $1,000 in damages.  During this time period, there were numerous bombings in the Seattle area.",0,1,0,3,Bombing/Explosion,15,Religious Figures/Institutions,86.0,Place of Worship,Jewish Synagogue,Temple De Hirsch,217.0,White extremists,6,Explosives/Bombs/Dynamite,16.0,Unknown Explosive Type,0.0,0.0,1,3.0,Minor (likely < $1 million),3000.0,"Committee on Government Operations United States Senate, ""Riots, Civil, and Criminal Disorders,"" U.S. Government Printing Office, August 6, 1970.","""Synagogue Blasted,"" Tri City Herald, January 25, 1970.",Hewitt Project,-9,-9,
36,197001300001,1970,1,30,,0,,217,United States,1,North America,Nebraska,South Sioux City,42.479999,-96.413046,"1/30/1970: In a series of two incidents that were possibly related, unknown perpetrators detonated an explosive device at a building in South Sioux City, Nebraska, United States.  There were no casualties but the blast damaged the foundation of the building.  This attack was one of many instances of violence in South Sioux City during the Iowa Beef Packers strike.",1,1,0,3,Bombing/Explosion,20,Unknown,,,Unknown building,,217.0,Strikers,6,Explosives/Bombs/Dynamite,28.0,Dynamite/TNT,0.0,0.0,1,3.0,Minor (likely < $1 million),,"Committee on Government Operations United States Senate, ""Riots, Civil, and Criminal Disorders,"" U.S. Government Printing Office, August 6, 1970.","""Beef Plant Workers in Nebraska Await Call to Work After Violent Strike Ends,"" New York Times, April 12, 1970.",Hewitt Project,-9,-9,"197001300001, 197001300002"
37,197001300002,1970,1,30,,0,,217,United States,1,North America,Nebraska,South Sioux City,42.46634,-96.41405,"1/30/1970: In a series of two incidents that were possibly related, unknown perpetrators detonated an explosive device at the A & B Boat Shop in South Sioux City, Nebraska, United States.  There were no casualties but the blast caused $2,500 in damages.  This attack was one of many instances of violence in South Sioux City during the Iowa Beef Packers strike.",1,1,0,3,Bombing/Explosion,1,Business,7.0,Retail/Grocery/Bakery,,A & B Boat Shop,217.0,Strikers,6,Explosives/Bombs/Dynamite,28.0,Dynamite/TNT,0.0,0.0,1,3.0,Minor (likely < $1 million),2500.0,"Committee on Government Operations United States Senate, ""Riots, Civil, and Criminal Disorders,"" U.S. Government Printing Office, August 6, 1970.","""Beef Plant Workers in Nebraska Await Call to Work After Violent Strike Ends,"" New York Times, April 12, 1970.",Hewitt Project,-9,-9,"197001300002, 197001300001"
38,197001300003,1970,1,30,,0,,217,United States,1,North America,Florida,Coral Gables,25.720851,-80.277857,"1/20/1970: Unknown perpetrators firebombed the premises of the Army R.O.T.C. at the University of Miami in Coral Gables, Florida, United States.  There were no casualties but an Army personal carrier was damaged.  Two firebombs did not explode.",0,1,0,7,Facility/Infrastructure Attack,4,Military,28.0,Military Recruiting Station/Academy,Army R.O.T.C.,"Army R.O.T.C., University of Miami",217.0,Student Radicals,8,Incendiary,19.0,Molotov Cocktail/Petrol Bomb,0.0,0.0,1,3.0,Minor (likely < $1 million),,"Committee on Government Operations United States Senate, ""Riots, Civil, and Criminal Disorders,"" U.S. Government Printing Office, August 6, 1970.","""Firebombs Exploded In Miami,"" Times-News, January 30, 1970.",Hewitt Project,-9,-9,
39,197001310001,1970,1,31,,0,,160,Philippines,5,Southeast Asia,Tarlac,Bamban,15.675051000000002,120.33161799999999,,0,0,0,9,Unknown,4,Military,34.0,"Military Personnel (soldiers, troops, officers, forces)",U.S. Navy,Seaman,217.0,New People's Army (NPA),13,Unknown,,,0.0,1.0,0,,,,,,PGIS,0,1,
40,197001310002,1970,1,31,,0,,217,United States,1,North America,Colorado,Denver,39.748783,-105.022136,"1/31/1970: Unknown perpetrators bombed the Police Band Building in Denver, Colorado, United States.  There were no casualties but a restroom was damaged.",0,1,0,3,Bombing/Explosion,3,Police,22.0,"Police Building (headquarters, station, school)",Denver Police Department,"Police Band Building, Denver Colorado",217.0,Unknown,6,Explosives/Bombs/Dynamite,28.0,Dynamite/TNT,0.0,0.0,1,3.0,Minor (likely < $1 million),,"Committee on Government Operations United States Senate, ""Riots, Civil, and Criminal Disorders,"" U.S. Government Printing Office, August 6, 1970.","Christopher Hewitt, ""Political Violence and Terrorism in Modern America: A Chronology,"" Praeger Security International, 2005.",Hewitt Project,-9,-9,
41,197002010001,1970,2,1,,0,,217,United States,1,North America,Oregon,Portland,45.511795,-122.675629,"2/1/1970: An unknown perpetrator broke into the Northeast Oregon building in Portland, Oregon, United States, which housed a Selective Service office and set fire to draft records.  About two hundred and fifty files were destroyed causing $4,189 in damage.",0,1,0,7,Facility/Infrastructure Attack,2,Government (General),21.0,Government Building/Facility/Office,Selective Service,Selective Service office Local Board No. 28 in Portland Oregon,217.0,Left-Wing Militants,8,Incendiary,20.0,Gasoline or Alcohol,0.0,0.0,1,3.0,Minor (likely < $1 million),4189.0,"Committee on Government Operations United States Senate, ""Riots, Civil, and Criminal Disorders,"" U.S. Government Printing Office, August 6, 1970.","""Arsonist 'Failed,'"" Eugene Register-Guard, February 4th, 1970.",Hewitt Project,-9,-9,
